               Epoch,            train/Lpix,          train/Lcon,          train/Lcol,              val/Lpix,            val/Lcon,            val/Lcol, 
                   0,         1.99139e-01,         2.15456e-01,         5.20046e-01,         1.55908e-01,         9.54839e-02,         1.16254e-01
                   1,         1.22006e-01,         1.22317e-01,         1.23953e-01,         1.55908e-01,         9.54837e-02,         1.16254e-01
                   2,         1.22005e-01,         1.22316e-01,         1.23951e-01,         1.55908e-01,         9.54835e-02,         1.16254e-01
                   3,         1.22003e-01,         1.22315e-01,         1.23946e-01,         1.55907e-01,         9.54833e-02,         1.16254e-01
                   4,         1.21998e-01,         1.22311e-01,         1.23934e-01,         1.55906e-01,         9.54828e-02,         1.16254e-01
                   5,         1.21979e-01,         1.22297e-01,         1.23893e-01,         1.55899e-01,         9.54826e-02,         1.16254e-01
                   6,         1.21950e-01,         1.22263e-01,         1.23819e-01,         1.55891e-01,         9.54824e-02,         1.16254e-01
                   7,         1.21914e-01,         1.22186e-01,         1.23668e-01,         1.55872e-01,         9.54822e-02,         1.16253e-01
                   8,         1.21887e-01,         1.22084e-01,         1.23339e-01,         1.55837e-01,         9.54819e-02,         1.16253e-01
                   9,         1.21742e-01,         1.21741e-01,         1.22438e-01,         1.55352e-01,         9.54814e-02,         1.16251e-01
                  10,         1.21418e-01,         1.21292e-01,         1.21049e-01,         1.55362e-01,         9.54803e-02,         1.16249e-01
                  11,         1.21394e-01,         1.21239e-01,         1.20769e-01,         1.55287e-01,         9.54773e-02,         1.16251e-01
                  12,         1.21360e-01,         1.21195e-01,         1.20550e-01,         1.55239e-01,         9.54743e-02,         1.16254e-01
                  13,         1.21321e-01,         1.21149e-01,         1.20344e-01,         1.55184e-01,         9.54713e-02,         1.16256e-01
                  14,         1.21268e-01,         1.21095e-01,         1.20146e-01,         1.55134e-01,         9.54681e-02,         1.16259e-01
                  15,         1.21193e-01,         1.21015e-01,         1.19972e-01,         1.55081e-01,         9.54650e-02,         1.16260e-01
                  16,         1.21076e-01,         1.20934e-01,         1.19862e-01,         1.54871e-01,         9.54614e-02,         1.16262e-01
                  17,         1.20645e-01,         1.20896e-01,         1.19956e-01,         1.54441e-01,         9.54581e-02,         1.16265e-01
                  18,         1.20445e-01,         1.20821e-01,         1.19865e-01,         1.54333e-01,         9.54551e-02,         1.16267e-01
                  19,         1.20323e-01,         1.20730e-01,         1.19642e-01,         1.54180e-01,         9.54517e-02,         1.16269e-01
                  20,         1.20241e-01,         1.20670e-01,         1.19406e-01,         1.54172e-01,         9.54496e-02,         1.16275e-01
